Sepal_Lenght,Sepal_Width,Petal_Length,Petal_Width,Class,Length mean,Sepal_Area
5.6,2.5,3.9,1.1,Iris-versicolor,4.75,14.0
5.9,3.2,4.8,1.8,Iris-versicolor,5.35,18.880000000000003
6.1,2.8,4.0,1.3,Iris-versicolor,5.05,17.08
6.3,2.5,4.9,1.5,Iris-versicolor,5.6,15.75
6.1,2.8,4.7,1.2,Iris-versicolor,5.4,17.08
6.4,2.9,4.3,1.3,Iris-versicolor,5.35,18.56
6.6,3.0,4.4,1.4,Iris-versicolor,5.5,19.799999999999997
6.8,2.8,4.8,1.4,Iris-versicolor,5.8,19.04
6.7,3.0,5.0,1.7,Iris-versicolor,5.85,20.1
6.0,2.9,4.5,1.5,Iris-versicolor,5.25,17.4
5.7,2.6,3.5,1.0,Iris-versicolor,4.6,14.82
5.5,2.4,3.8,1.1,Iris-versicolor,4.65,13.2
5.5,2.4,3.7,1.0,Iris-versicolor,4.6,13.2
5.8,2.7,3.9,1.2,Iris-versicolor,4.85,15.66
6.0,2.7,5.1,1.6,Iris-versicolor,5.55,16.200000000000003
5.4,3.0,4.5,1.5,Iris-versicolor,4.95,16.200000000000003
6.0,3.4,4.5,1.6,Iris-versicolor,5.25,20.4
6.7,3.1,4.7,1.5,Iris-versicolor,5.7,20.77
6.3,2.3,4.4,1.3,Iris-versicolor,5.35,14.489999999999998
5.6,3.0,4.1,1.3,Iris-versicolor,4.85,16.799999999999997
5.5,2.5,4.0,1.3,Iris-versicolor,4.75,13.75
5.5,2.6,4.4,1.2,Iris-versicolor,4.95,14.3
6.1,3.0,4.6,1.4,Iris-versicolor,5.35,18.299999999999997
5.8,2.6,4.0,1.2,Iris-versicolor,4.9,15.08
5.0,2.3,3.3,1.0,Iris-versicolor,4.15,11.5
5.6,2.7,4.2,1.3,Iris-versicolor,4.9,15.12
5.7,3.0,4.2,1.2,Iris-versicolor,4.95,17.1
5.7,2.9,4.2,1.3,Iris-versicolor,4.95,16.53
6.2,2.9,4.3,1.3,Iris-versicolor,5.25,17.98
5.1,2.5,3.0,1.1,Iris-versicolor,4.05,12.75
5.7,2.8,4.1,1.3,Iris-versicolor,4.9,15.959999999999999
6.3,3.3,6.0,2.5,Iris-virginica,6.15,20.79
5.8,2.7,5.1,1.9,Iris-virginica,5.449999999999999,15.66
7.1,3.0,5.9,2.1,Iris-virginica,6.5,21.299999999999997
6.3,2.9,5.6,1.8,Iris-virginica,5.949999999999999,18.27
6.5,3.0,5.8,2.2,Iris-virginica,6.15,19.5
7.6,3.0,6.6,2.1,Iris-virginica,7.1,22.799999999999997
4.9,2.5,4.5,1.7,Iris-virginica,4.7,12.25
7.3,2.9,6.3,1.8,Iris-virginica,6.8,21.169999999999998
6.7,2.5,5.8,1.8,Iris-virginica,6.25,16.75
7.2,3.6,6.1,2.5,Iris-virginica,6.65,25.92
6.5,3.2,5.1,2.0,Iris-virginica,5.8,20.8
6.4,2.7,5.3,1.9,Iris-virginica,5.85,17.28
6.8,3.0,5.5,2.1,Iris-virginica,6.15,20.4
5.7,2.5,5.0,2.0,Iris-virginica,5.35,14.25
5.8,2.8,5.1,2.4,Iris-virginica,5.449999999999999,16.24
6.4,3.2,5.3,2.3,Iris-virginica,5.85,20.480000000000004
6.5,3.0,5.5,1.8,Iris-virginica,6.0,19.5
7.7,3.8,6.7,2.2,Iris-virginica,7.2,29.259999999999998
7.7,2.6,6.9,2.3,Iris-virginica,7.300000000000001,20.02
6.0,2.2,5.0,1.5,Iris-virginica,5.5,13.200000000000001
6.9,3.2,5.7,2.3,Iris-virginica,6.300000000000001,22.080000000000002
5.6,2.8,4.9,2.0,Iris-virginica,5.25,15.679999999999998
7.7,2.8,6.7,2.0,Iris-virginica,7.2,21.56
6.3,2.7,4.9,1.8,Iris-virginica,5.6,17.01
6.7,3.3,5.7,2.1,Iris-virginica,6.2,22.11
7.2,3.2,6.0,1.8,Iris-virginica,6.6,23.040000000000003
6.2,2.8,4.8,1.8,Iris-virginica,5.5,17.36
6.1,3.0,4.9,1.8,Iris-virginica,5.5,18.299999999999997
6.4,2.8,5.6,2.1,Iris-virginica,6.0,17.919999999999998
7.2,3.0,5.8,1.6,Iris-virginica,6.5,21.6
7.4,2.8,6.1,1.9,Iris-virginica,6.75,20.72
7.9,3.8,6.4,2.0,Iris-virginica,7.15,30.02
6.4,2.8,5.6,2.2,Iris-virginica,6.0,17.919999999999998
6.3,2.8,5.1,1.5,Iris-virginica,5.699999999999999,17.639999999999997
6.1,2.6,5.6,1.4,Iris-virginica,5.85,15.86
7.7,3.0,6.1,2.3,Iris-virginica,6.9,23.1
6.3,3.4,5.6,2.4,Iris-virginica,5.949999999999999,21.419999999999998
6.4,3.1,5.5,1.8,Iris-virginica,5.95,19.840000000000003
6.0,3.0,4.8,1.8,Iris-virginica,5.4,18.0
6.9,3.1,5.4,2.1,Iris-virginica,6.15,21.39
6.7,3.1,5.6,2.4,Iris-virginica,6.15,20.77
6.9,3.1,5.1,2.3,Iris-virginica,6.0,21.39
5.8,2.7,5.1,1.9,Iris-virginica,5.449999999999999,15.66
6.8,3.2,5.9,2.3,Iris-virginica,6.35,21.76
6.7,3.3,5.7,2.5,Iris-virginica,6.2,22.11
6.7,3.0,5.2,2.3,Iris-virginica,5.95,20.1
6.3,2.5,5.0,1.9,Iris-virginica,5.65,15.75
6.5,3.0,5.2,2.0,Iris-virginica,5.85,19.5
6.2,3.4,5.4,2.3,Iris-virginica,5.800000000000001,21.08
5.9,3.0,5.1,1.8,Iris-virginica,5.5,17.700000000000003
